slug,journal,title,year,doi,pdf_path,pdf_url,status,cited,src
mdpi-atmosphere,Atmosphere,Review of Sunset OC/EC Instrument Measurements During the EPA's Sunset Carbon Evaluation Project.,2019,10.3390/atmos10050287,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2019__review_of_sunset_oc_ec_instrument_measurements_during_t__c2c0e50963.pdf,https://europepmc.org/articles/PMC7376833?pdf=render,downloaded,10,europepmc
mdpi-atmosphere,Atmosphere,Source Apportionment of Aerosol at a Coastal Site and Relationships with Precipitation Chemistry: A Case Study over the Southeast United States.,2020,10.3390/atmos11111212,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2020__source_apportionment_of_aerosol_at_a_coastal_site_and_r__27c827c579.pdf,https://europepmc.org/articles/PMC8243544?pdf=render,downloaded,9,europepmc
mdpi-atmosphere,Atmosphere,Examining the impact of dimethyl sulfide emissions on atmospheric sulfate over the continental U.S.,2023,10.3390/atmos14040660,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2023__examining_the_impact_of_dimethyl_sulfide_emissions_on_a__cc6e9c3038.pdf,https://europepmc.org/articles/PMC10208309?pdf=render,downloaded,8,europepmc
mdpi-atmosphere,Atmosphere,Volatile Organic Compound Emissions from Prescribed Burning in Tallgrass Prairie Ecosystems.,2019,10.3390/atmos10080464,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2019__volatile_organic_compound_emissions_from_prescribed_bur__792bdc3883.pdf,https://europepmc.org/articles/PMC6781241?pdf=render,downloaded,8,europepmc
mdpi-atmosphere,Atmosphere,Regional and Urban-Scale Environmental Influences of Oceanic DMS Emissions over Coastal China Seas.,2020,10.3390/atmos11080849,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2020__regional_and_urban_scale_environmental_influences_of_oc__6169be1c2c.pdf,https://europepmc.org/articles/PMC7529109?pdf=render,downloaded,6,europepmc
mdpi-atmosphere,Atmosphere,Carbonaceous Particulate Matter Emitted from a Pellet-Fired Biomass Boiler.,2019,10.3390/atmos10090536,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2019__carbonaceous_particulate_matter_emitted_from_a_pellet_f__f751f9bcc8.pdf,https://europepmc.org/articles/PMC7900939?pdf=render,downloaded,6,europepmc
mdpi-atmosphere,Atmosphere,"Gas-Phase Reaction of &lt;i&gt;trans&lt;/i&gt;-2-Methyl-2-butenal with Cl: Kinetics, Gaseous Products, and SOA Formation.",2020,10.3390/atmos11070715,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2020__gas_phase_reaction_of_lt_i_gt_trans_lt_i_gt_2_methyl_2___3cc7c99d65.pdf,https://europepmc.org/articles/PMC7116312?pdf=render,downloaded,5,europepmc
tsp-cmc,"Computers, Materials & Continua",cmc_2024_turkish_text_classification,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2024_turkish_text_classification.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_chinese_ner_muskdeer,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_chinese_ner_muskdeer.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_llm_finetune_payloads,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_llm_finetune_payloads.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_load_forecasting_bigru,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_load_forecasting_bigru.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_rag_aigc_text_detect,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_rag_aigc_text_detect.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_rag_aws_threat,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_rag_aws_threat.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_securebert_ner,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_securebert_ner.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_smartgrid_anomaly_graph,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_smartgrid_anomaly_graph.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2025_xgboost_grid_fault,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2025_xgboost_grid_fault.pdf,,cached,,cache
tsp-cmc,"Computers, Materials & Continua",cmc_2026_llm_sql_agents,,,papers/literature/target_journal_related/fulltext_by_journal/tsp-cmc/cmc_2026_llm_sql_agents.pdf,,cached,,cache
springer-discover-computing,Discover Computing,Genomic privacy and security in the era of artificial intelligence and quantum computing.,2025,10.1007/s10791-025-09627-w,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2025__genomic_privacy_and_security_in_the_era_of_artificial_i__f783b3feea.pdf,https://europepmc.org/articles/PMC12175736?pdf=render,downloaded,5,europepmc
springer-discover-computing,Discover Computing,Common TF-IDF variants arise as key components in the test statistic of a penalized likelihood-ratio test for word burstiness.,2026,10.1007/s10791-026-10090-4,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2026__common_tf_idf_variants_arise_as_key_components_in_the_t__d8e5af369d.pdf,https://europepmc.org/articles/PMC13183755?pdf=render,downloaded,,europepmc
springer-discover-computing,Discover Computing,Machine learning in cancer imaging for enhanced precision in diagnosis and therapy.,2026,10.1007/s10791-026-10078-0,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2026__machine_learning_in_cancer_imaging_for_enhanced_precisi__4325be370e.pdf,https://europepmc.org/articles/PMC13035700?pdf=render,downloaded,,europepmc
springer-discover-computing,Discover Computing,Design and performance evaluation of a green LED OFDM LiFi system for an electromagnetic interference sensitive hospital network.,2026,10.1007/s10791-026-09906-0,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2026__design_and_performance_evaluation_of_a_green_led_ofdm_l__ce0fd401e5.pdf,https://europepmc.org/articles/PMC12812083?pdf=render,downloaded,,europepmc
springer-discover-computing,Discover Computing,LSTM guided homomorphic encryption for threat-resistant IoT networks.,2025,10.1007/s10791-025-09843-4,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2025__lstm_guided_homomorphic_encryption_for_threat_resistant__5555d08985.pdf,https://europepmc.org/articles/PMC12689805?pdf=render,downloaded,,europepmc
springer-discover-computing,Discover Computing,Penalized GANs with latent perturbation for robust shilling attack generation in recommender systems.,2025,10.1007/s10791-025-09702-2,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2025__penalized_gans_with_latent_perturbation_for_robust_shil__639dbaf6d3.pdf,https://europepmc.org/articles/PMC12370797?pdf=render,downloaded,,europepmc
springer-discover-computing,Discover Computing,Evaluating the emotional accuracy of AI-generated facial expressions in neurotypical individuals.,2025,10.1007/s10791-025-09630-1,papers/literature/target_journal_related/fulltext_by_journal/springer-discover-computing/springer-discover-computing__2025__evaluating_the_emotional_accuracy_of_ai_generated_facia__6ef084082c.pdf,https://europepmc.org/articles/PMC12175737?pdf=render,downloaded,,europepmc
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2016__predicting_judicial_decisions_of_the_european_court_of___365ec1101e,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2016__predicting_judicial_decisions_of_the_european_court_of___365ec1101e.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2017__sustainable_computational_science_the_rescience_initiat__521c94b479,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2017__sustainable_computational_science_the_rescience_initiat__521c94b479.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2018__the_modern_research_data_portal_a_design_pattern_for_ne__8deea97a8b,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2018__the_modern_research_data_portal_a_design_pattern_for_ne__8deea97a8b.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2020__text_mining_forma_mentis_networks_reconstruct_public_pe__84e6d3ad0e,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2020__text_mining_forma_mentis_networks_reconstruct_public_pe__84e6d3ad0e.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2022__relational_graph_convolutional_networks_a_closer_look__60f28d3630,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2022__relational_graph_convolutional_networks_a_closer_look__60f28d3630.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,peerj-computer-science__2024__enhancing_machine_learning_based_forecasting_of_chronic__5e6f5409a1,,,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2024__enhancing_machine_learning_based_forecasting_of_chronic__5e6f5409a1.pdf,,cached,,cache
peerj-computer-science,PeerJ Computer Science,Bracken: estimating species abundance in metagenomics data.,2017,10.7717/peerj-cs.104,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2017__bracken_estimating_species_abundance_in_metagenomics_da__d444dc78ff.pdf,https://europepmc.org/articles/PMC12016282?pdf=render,downloaded,813,europepmc
peerj-computer-science,PeerJ Computer Science,"The coefficient of determination R-squared is more informative than SMAPE, MAE, MAPE, MSE and RMSE in regression analysis evaluation.",2021,10.7717/peerj-cs.623,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2021__the_coefficient_of_determination_r_squared_is_more_info__3b7f750e58.pdf,https://europepmc.org/articles/PMC8279135?pdf=render,downloaded,750,europepmc
peerj-computer-science,PeerJ Computer Science,"PyMC: a modern, and comprehensive probabilistic programming framework in Python.",2023,10.7717/peerj-cs.1516,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2023__pymc_a_modern_and_comprehensive_probabilistic_programmi__b25b519bd5.pdf,https://europepmc.org/articles/PMC10495961?pdf=render,downloaded,500,europepmc
peerj-computer-science,PeerJ Computer Science,RIdeogram: drawing SVG graphics to visualize and map genome-wide data on the idiograms.,2020,10.7717/peerj-cs.251,papers/literature/target_journal_related/fulltext_by_journal/peerj-computer-science/peerj-computer-science__2020__rideogram_drawing_svg_graphics_to_visualize_and_map_gen__8fd3b9cd9e.pdf,https://europepmc.org/articles/PMC7924719?pdf=render,downloaded,421,europepmc
ieee-internet-of-things-journal,IEEE Internet of Things Journal,Dynamic-Fusion-Based Federated Learning for COVID-19 Detection.,2021,10.1109/jiot.2021.3056185,papers/literature/target_journal_related/fulltext_by_journal/ieee-internet-of-things-journal/ieee-internet-of-things-journal__2021__dynamic_fusion_based_federated_learning_for_covid_19_de__8192e11819.pdf,https://europepmc.org/articles/PMC9128757?pdf=render,downloaded,55,europepmc
